"29.640","-","CT","Bristol","","KB1CDI","","88.5",,"Hartford","","13782","RX in Terryville CT, Donkey Dusters Net","2012/06/09",
"29.640","-","CT","Terryville",,"KB1CDI","88.5",,,,,,"Remote RX for KB1CDI Bristol, CT"
"29.640","-","RI","Providence","","N1BS","67.0","","OFF","Providence","","","","2019/06/10",
"29.660","-","NH","Dover","","WM1P","131.8","","Local","Strafford","","","","2018/02/19",
"29.680","-","MA","Marlborough","","W1MRA","131.8","","OFF","Middlesex","","","[MMRA Net],[MMRA2 Net],[146.790 Weston]","2019/11/26",
"29.680","-","MA","Weston",,"W1MRA","131.8",,,,,,"Remote RX for W1MRA Marlborough, MA"
"51.640","*","NH","Ossipee","","W1BST","131.8","",,"Carroll","","","*Input: 51.140 (-500 kHz)","2016/12/28",
"52.490","S","VT","Brandon","","AA1PR","131.8","",,"Rutland","","","Vermont Allstar Net,AllStar Node 42668","2017/01/29",
"53.010","-","MA","Barnstable","","N1YHS","173.8","173.8*",,"Barnstable","","","","2014/10/29",
"53.030","-","MA","Braintree","","K1GUG","","","Local","Norfolk","","","","2012/01/16",
"53.030","-","NH","Dover","","WM1P","131.8","","Local","Strafford","","","","2018/02/19",
"53.050","-","CT","Bristol","","WA1IXU","162.2","","OFF","Hartford","","","","2014/05/26",
"53.050","-","ME","Litchfield","","K1AAM","136.5","",,"Kennebec",,"","K1AAM Net","",
"53.070","-","NH","Claremont","","WX1NH","97.4","",,"Sullivan","","","224.060 Claremont, NH","2018/07/08",
"53.090","-","MA","Pelham","","N1PAH","","100.0",,"Hampshire","","","N1PAH Net","2020/02/28",
"53.090","-","MA","Warren",,"N1PAH","162.2",,,,,,"Remote RX for N1PAH Pelham, MA"
"53.090","-","MA","Granville",,"N1PAH","100.0",,,,,,"Remote RX for N1PAH Pelham, MA"
"53.090","-","MA","Greenfield",,"N1PAH","136.5",,,,,,"Remote RX for N1PAH Pelham, MA"
"53.090","-","ME","Woodstock","","W1IMD","71.9","","OFF","Oxford","","","","2019/08/11",
"53.130","-","CT","Danbury","","W1QI","100.0","",,"Fairfield","","","","2007/11/04",
"53.150","-","MA","Granville","","N1PAH","162.2","67.0",,"Hampden","","","","2020/02/28",
"53.150","-","NH","Bow","","KB1QV","71.9","",,"Merrimack","","","","2018/09/09",
"53.170","-","RI","Portsmouth","","NB1RI","67.0","","OFF","Newport","","","","2020/01/10",
"53.190","-","CT","East Hartland","","W1XOJ","162.2","",,"Hartford","","","[448.000 (East Hartland, CT)]","2011/12/22",
"53.230","-","MA","Mt. Greylock","","K1FFK","162.2","71.9",,"Berkshire","","","","2019/01/23",
"53.270","-","CT","Milford","","KB1CBD","77.0","",,"New Haven","","","","2019/06/06",
"53.270","-","MA","Framingham","","W1FRS","71.9","100.0",,"Middlesex","","","","2019/01/19",
"53.290","-","CT","Tolland","","N1PAH","71.9/127.3","88.5",,"Tolland","","","N1PAH Net","2019/01/24",
"53.290","-","ME","Exeter","","AA1PN","103.5","",,"Penobscot","","","","2010/10/24",
"53.310","-","MA","Mt. Wachusett","","WC1MA","71.9/162.2","100.0*",,"Worcester","","","","2014/05/11",
"53.330","-","MA","Norwell","","KC1HO","71.9","",,"Plymouth","","","Quahog Net,RB:2m/440, AllStar Node 50532","2020/03/05",
"53.350","-","MA","Holyoke","","AA1KK","71.9","","OFF","Hamden","","","","2017/09/27",
"53.370","-","ME","Hiram","","K1AAM","136.5","",,"Oxford",,"","K1AAM Net","",
"53.390","-","CT","Bristol","","KB1CDI","","88.5",,"Hartford","","13782","RX in Terryville CT, Donkey Dusters Net","2012/12/21",
"53.390","-","CT","Terryville",,"KB1CDI","88.5",,,,,,"Remote RX for KB1CDI Bristol, CT"
